Round,raceDate,GP_CHN,GP_ENG,raceLength,raceStatus
1,2022/2/17,巴林,Bahrain,FULL,ON GOING
2,2022/3/10,圣马力诺,San Marino,HALF,TO BE GO
3,2022/3/17,葡萄牙,Portugal,FULL,TO BE GO
4,2022/4/14,法国,France,FULL,TO BE GO
5,2022/4/21,奥地利,Austria,HALF,TO BE GO
6,2022/5/5,英国,Britain,FULL,TO BE GO
7,2022/5/19,比利时,Belgium,FULL,TO BE GO
8,2022/6/9,意大利,Italy,FULL,TO BE GO
9,2022/6/16,俄罗斯,Russia,HALF,TO BE GO
10,2022/7/7,中国,China,HALF,TO BE GO
11,2022/7/21,美国,USA,FULL,TO BE GO
12,2022/7/28,墨西哥,Mexico,FULL,TO BE GO
13,2022/8/4,巴西,Brazil,FULL,TO BE GO
